# Assembly name:  GRCh38.p14
# Description:    Genome Reference Consortium Human Build 38 patch release 14 (GRCh38.p14)
# Organism name:  Homo sapiens (human)
# Taxid:          9606
# BioProject:     PRJNA31257
# Submitter:      Genome Reference Consortium
# Date:           2022-02-03
# Synonyms:       hg38	
# Assembly type:  haploid-with-alt-loci
# Release type:   patch
# Assembly level: Chromosome
# Genome representation: full
# RefSeq category: Reference Genome
# GenBank assembly accession: GCA_000001405.29
#
## Assembly-Units:
## GenBank Unit Accession	RefSeq Unit Accession	Assembly-Unit name
## GCA_000001305.2		Primary Assembly
## GCA_000005045.27		PATCHES
## GCA_000001315.2		ALT_REF_LOCI_1
## GCA_000001325.2		ALT_REF_LOCI_2
## GCA_000001335.2		ALT_REF_LOCI_3
## GCA_000001345.2		ALT_REF_LOCI_4
## GCA_000001355.2		ALT_REF_LOCI_5
## GCA_000001365.2		ALT_REF_LOCI_6
## GCA_000001375.2		ALT_REF_LOCI_7
## GCA_000510225.1		ALT_REF_LOCI_8
## GCA_000510235.1		ALT_REF_LOCI_9
## GCA_000509915.1		ALT_REF_LOCI_10
## GCA_000509925.1		ALT_REF_LOCI_11
## GCA_000509935.1		ALT_REF_LOCI_12
## GCA_000509945.1		ALT_REF_LOCI_13
## GCA_000509955.1		ALT_REF_LOCI_14
## GCA_000509965.1		ALT_REF_LOCI_15
## GCA_000509975.1		ALT_REF_LOCI_16
## GCA_000509985.1		ALT_REF_LOCI_17
## GCA_000509995.1		ALT_REF_LOCI_18
## GCA_000510005.1		ALT_REF_LOCI_19
## GCA_000510015.1		ALT_REF_LOCI_20
## GCA_000510025.1		ALT_REF_LOCI_21
## GCA_000510035.1		ALT_REF_LOCI_22
## GCA_000510045.1		ALT_REF_LOCI_23
## GCA_000510055.1		ALT_REF_LOCI_24
## GCA_000510065.1		ALT_REF_LOCI_25
## GCA_000510075.1		ALT_REF_LOCI_26
## GCA_000510085.1		ALT_REF_LOCI_27
## GCA_000510095.1		ALT_REF_LOCI_28
## GCA_000510105.1		ALT_REF_LOCI_29
## GCA_000510125.1		ALT_REF_LOCI_30
## GCA_000510135.1		ALT_REF_LOCI_31
## GCA_000510145.1		ALT_REF_LOCI_32
## GCA_000510155.1		ALT_REF_LOCI_33
## GCA_000510165.1		ALT_REF_LOCI_34
## GCA_000510175.1		ALT_REF_LOCI_35
## GCA_000006015.1		non-nuclear
#
# Ordered by chromosome/plasmid; the chromosomes/plasmids are followed by
# unlocalized scaffolds.
# Unplaced scaffolds are listed at the end.
# RefSeq is equal or derived from GenBank object.
#
# Sequence-Name	Sequence-Role	Assigned-Molecule	Assigned-Molecule-Location/Type	GenBank-Accn	Relationship	RefSeq-Accn	Assembly-Unit	Sequence-Length	UCSC-style-name
HSCHRUN_RANDOM_159	unplaced-scaffold	na	na	KI270589.1	<>	na	Primary Assembly	44474	chrUn_KI270589v1
HSCHRUN_RANDOM_160	unplaced-scaffold	na	na	KI270590.1	<>	na	Primary Assembly	4685	chrUn_KI270590v1
HSCHRUN_RANDOM_165	unplaced-scaffold	na	na	KI270591.1	<>	na	Primary Assembly	5796	chrUn_KI270591v1
HSCHRUN_RANDOM_164	unplaced-scaffold	na	na	KI270593.1	<>	na	Primary Assembly	3041	chrUn_KI270593v1
HSCHRUN_RANDOM_CTG17	unplaced-scaffold	na	na	KI270741.1	<>	na	Primary Assembly	157432	chrUn_KI270741v1
HSCHRUN_RANDOM_CTG42	unplaced-scaffold	na	na	KI270742.1	<>	na	Primary Assembly	186739	chrUn_KI270742v1
HSCHRUN_RANDOM_CTG20	unplaced-scaffold	na	na	KI270743.1	<>	na	Primary Assembly	210658	chrUn_KI270743v1
HSCHRUN_RANDOM_CTG21	unplaced-scaffold	na	na	KI270744.1	<>	na	Primary Assembly	168472	chrUn_KI270744v1
HSCHRUN_RANDOM_CTG22	unplaced-scaffold	na	na	KI270745.1	<>	na	Primary Assembly	41891	chrUn_KI270745v1
HSCHRUN_RANDOM_CTG23	unplaced-scaffold	na	na	KI270746.1	<>	na	Primary Assembly	66486	chrUn_KI270746v1
HSCHRUN_RANDOM_CTG24	unplaced-scaffold	na	na	KI270747.1	<>	na	Primary Assembly	198735	chrUn_KI270747v1
HSCHRUN_RANDOM_CTG25	unplaced-scaffold	na	na	KI270748.1	<>	na	Primary Assembly	93321	chrUn_KI270748v1
HSCHRUN_RANDOM_CTG26	unplaced-scaffold	na	na	KI270749.1	<>	na	Primary Assembly	158759	chrUn_KI270749v1
HSCHRUN_RANDOM_CTG27	unplaced-scaffold	na	na	KI270750.1	<>	na	Primary Assembly	148850	chrUn_KI270750v1
HSCHRUN_RANDOM_CTG28	unplaced-scaffold	na	na	KI270751.1	<>	na	Primary Assembly	150742	chrUn_KI270751v1
HSCHRUN_RANDOM_CTG29	unplaced-scaffold	na	na	KI270752.1	<>	na	Primary Assembly	27745	chrUn_KI270752v1
HSCHRUN_RANDOM_CTG30	unplaced-scaffold	na	na	KI270753.1	<>	na	Primary Assembly	62944	chrUn_KI270753v1
HSCHRUN_RANDOM_CTG33	unplaced-scaffold	na	na	KI270754.1	<>	na	Primary Assembly	40191	chrUn_KI270754v1
HSCHRUN_RANDOM_CTG34	unplaced-scaffold	na	na	KI270755.1	<>	na	Primary Assembly	36723	chrUn_KI270755v1
HSCHRUN_RANDOM_CTG35	unplaced-scaffold	na	na	KI270756.1	<>	na	Primary Assembly	79590	chrUn_KI270756v1
HSCHRUN_RANDOM_CTG36	unplaced-scaffold	na	na	KI270757.1	<>	na	Primary Assembly	71251	chrUn_KI270757v1
HG986_PATCH	fix-patch	1	Chromosome	KN196472.1	<>	na	PATCHES	186494	na
HG2058_PATCH	fix-patch	1	Chromosome	KN196473.1	<>	na	PATCHES	166200	na
HG2104_PATCH	fix-patch	1	Chromosome	KN196474.1	<>	na	PATCHES	122022	na
HG1832_PATCH	fix-patch	1	Chromosome	KN538360.1	<>	na	PATCHES	460100	na
HG2095_PATCH	fix-patch	1	Chromosome	KN538361.1	<>	na	PATCHES	305542	na
HG1342_HG2282_PATCH	fix-patch	1	Chromosome	KQ031383.1	<>	na	PATCHES	467143	na
HG2002_PATCH	fix-patch	1	Chromosome	KZ208906.1	<>	na	PATCHES	330031	na
HG460_PATCH	fix-patch	1	Chromosome	KZ559100.1	<>	na	PATCHES	44955	na
HG1343_HG173_HG459_PATCH	fix-patch	1	Chromosome	MU273333.1	<>	na	PATCHES	1572686	na
HG2571_PATCH	fix-patch	1	Chromosome	MU273334.1	<>	na	PATCHES	210426	na
HG2515_PATCH	fix-patch	1	Chromosome	MU273335.1	<>	na	PATCHES	211934	na
HG2577_PATCH	fix-patch	1	Chromosome	MU273336.1	<>	na	PATCHES	250447	na
HSCHR1_3_CTG3	novel-patch	1	Chromosome	KQ458382.1	<>	na	PATCHES	141019	na
HSCHR1_4_CTG3	novel-patch	1	Chromosome	KQ458383.1	<>	na	PATCHES	349938	na
HSCHR1_5_CTG32_1	novel-patch	1	Chromosome	KQ458384.1	<>	na	PATCHES	212205	na
HSCHR1_5_CTG3	novel-patch	1	Chromosome	KQ983255.1	<>	na	PATCHES	278659	na
HSCHR1_6_CTG3	novel-patch	1	Chromosome	KV880763.1	<>	na	PATCHES	551020	na
HSCHR1_8_CTG3	novel-patch	1	Chromosome	KZ208904.1	<>	na	PATCHES	166136	na
HSCHR1_9_CTG3	novel-patch	1	Chromosome	KZ208905.1	<>	na	PATCHES	140355	na
HSCHR1_12_CTG3	novel-patch	1	Chromosome	MU273330.1	<>	na	PATCHES	516764	na
HSCHR1_5_CTG31	novel-patch	1	Chromosome	MU273331.1	<>	na	PATCHES	847441	na
HSCHR1_6_CTG31	novel-patch	1	Chromosome	MU273332.1	<>	na	PATCHES	335159	na
HG2233_PATCH	fix-patch	2	Chromosome	KN538362.1	<>	na	PATCHES	208149	na
HG2232_PATCH	fix-patch	2	Chromosome	KN538363.1	<>	na	PATCHES	365499	na
HG2290_PATCH	fix-patch	2	Chromosome	KQ031384.1	<>	na	PATCHES	481245	na
HG721_PATCH	fix-patch	2	Chromosome	ML143341.1	<>	na	PATCHES	145975	na
HG1384_PATCH	fix-patch	2	Chromosome	ML143342.1	<>	na	PATCHES	84043	na
HG2494_PATCH	fix-patch	2	Chromosome	MU273341.1	<>	na	PATCHES	120381	na
HG2275_PATCH	fix-patch	2	Chromosome	MU273342.1	<>	na	PATCHES	955087	na
HG2052_PATCH	fix-patch	2	Chromosome	MU273343.1	<>	na	PATCHES	489404	na
HG2231_HG2496_PATCH	fix-patch	2	Chromosome	MU273344.1	<>	na	PATCHES	244725	na
HG2140_PATCH	fix-patch	2	Chromosome	MU273345.1	<>	na	PATCHES	174385	na
HSCHR2_6_CTG7_2	novel-patch	2	Chromosome	KQ983256.1	<>	na	PATCHES	535088	na
HSCHR2_7_CTG7_2	novel-patch	2	Chromosome	KZ208907.1	<>	na	PATCHES	181658	na
HSCHR2_8_CTG7_2	novel-patch	2	Chromosome	KZ208908.1	<>	na	PATCHES	140361	na
HSCHR2_10_CTG7_2	novel-patch	2	Chromosome	MU273337.1	<>	na	PATCHES	431782	na
HSCHR2_11_CTG7_2	novel-patch	2	Chromosome	MU273338.1	<>	na	PATCHES	535251	na
HSCHR2_12_CTG7_2	novel-patch	2	Chromosome	MU273339.1	<>	na	PATCHES	500581	na
HSCHR2_6_CTG1	novel-patch	2	Chromosome	MU273340.1	<>	na	PATCHES	284971	na
HG2066_PATCH	fix-patch	3	Chromosome	KN196475.1	<>	na	PATCHES	451168	na
HG2022_PATCH	fix-patch	3	Chromosome	KN196476.1	<>	na	PATCHES	305979	na
HG126_PATCH	fix-patch	3	Chromosome	KN538364.1	<>	na	PATCHES	415308	na
HG2235_PATCH	fix-patch	3	Chromosome	KQ031385.1	<>	na	PATCHES	373699	na
HG2237_PATCH	fix-patch	3	Chromosome	KQ031386.1	<>	na	PATCHES	165718	na
HG2236_PATCH	fix-patch	3	Chromosome	KV766192.1	<>	na	PATCHES	411654	na
HG2133_PATCH	fix-patch	3	Chromosome	KZ559104.1	<>	na	PATCHES	105527	na
HG2264_PATCH	fix-patch	3	Chromosome	MU273346.1	<>	na	PATCHES	469342	na
HG2077_PATCH	fix-patch	3	Chromosome	MU273347.1	<>	na	PATCHES	301310	na
HG2069_PATCH	fix-patch	3	Chromosome	MU273348.1	<>	na	PATCHES	475876	na
HSCHR3_4_CTG1	novel-patch	3	Chromosome	KZ208909.1	<>	na	PATCHES	175849	na
HSCHR3_7_CTG2_1	novel-patch	3	Chromosome	KZ559101.1	<>	na	PATCHES	164041	na
HSCHR3_8_CTG2_1	novel-patch	3	Chromosome	KZ559102.1	<>	na	PATCHES	197752	na
HSCHR3_9_CTG2_1	novel-patch	3	Chromosome	KZ559103.1	<>	na	PATCHES	302885	na
HSCHR3_6_CTG2_1	novel-patch	3	Chromosome	KZ559105.1	<>	na	PATCHES	195063	na
HSCHR3_5_CTG1	novel-patch	3	Chromosome	ML143343.1	<>	na	PATCHES	215443	na
HG2023_PATCH	fix-patch	4	Chromosome	KQ983257.1	<>	na	PATCHES	230434	na
HG699_PATCH	fix-patch	4	Chromosome	ML143344.1	<>	na	PATCHES	235734	na
HG2525_PATCH	fix-patch	4	Chromosome	ML143345.1	<>	na	PATCHES	341066	na
HG1299_PATCH	fix-patch	4	Chromosome	ML143346.1	<>	na	PATCHES	53476	na
HG1298_PATCH	fix-patch	4	Chromosome	ML143347.1	<>	na	PATCHES	176674	na
HG1296_PATCH	fix-patch	4	Chromosome	ML143348.1	<>	na	PATCHES	125549	na
HG705_PATCH	fix-patch	4	Chromosome	ML143349.1	<>	na	PATCHES	276109	na
HG2155_PATCH	fix-patch	4	Chromosome	MU273350.1	<>	na	PATCHES	113364	na
HG287_PATCH	fix-patch	4	Chromosome	MU273351.1	<>	na	PATCHES	205691	na
HSCHR4_2_CTG4	novel-patch	4	Chromosome	KQ090013.1	<>	na	PATCHES	90922	na
HSCHR4_8_CTG12	novel-patch	4	Chromosome	KQ090014.1	<>	na	PATCHES	163749	na
HSCHR4_9_CTG12	novel-patch	4	Chromosome	KQ090015.1	<>	na	PATCHES	236512	na
HSCHR4_11_CTG12	novel-patch	4	Chromosome	KQ983258.1	<>	na	PATCHES	205407	na
HSCHR4_12_CTG12	novel-patch	4	Chromosome	KV766193.1	<>	na	PATCHES	420675	na
HSCHR4_2_CTG8_1	novel-patch	4	Chromosome	MU273349.1	<>	na	PATCHES	308682	na
HG30_PATCH	fix-patch	5	Chromosome	KV575244.1	<>	na	PATCHES	673059	na
HG1395_PATCH	fix-patch	5	Chromosome	ML143350.1	<>	na	PATCHES	89956	na
HG1046_PATCH	fix-patch	5	Chromosome	MU273352.1	<>	na	PATCHES	34400	na
HG2476_PATCH	fix-patch	5	Chromosome	MU273353.1	<>	na	PATCHES	208405	na
HG2405_PATCH	fix-patch	5	Chromosome	MU273354.1	<>	na	PATCHES	2101585	na
HG2308_PATCH	fix-patch	5	Chromosome	MU273355.1	<>	na	PATCHES	508332	na
HSCHR5_7_CTG1	novel-patch	5	Chromosome	KN196477.1	<>	na	PATCHES	139087	na
HSCHR5_8_CTG1	novel-patch	5	Chromosome	KV575243.1	<>	na	PATCHES	362221	na
HSCHR5_9_CTG1	novel-patch	5	Chromosome	KZ208910.1	<>	na	PATCHES	135987	na
HSCHR5_10_CTG1	novel-patch	5	Chromosome	MU273356.1	<>	na	PATCHES	302485	na
HG2128_PATCH	fix-patch	6	Chromosome	KN196478.1	<>	na	PATCHES	268330	na
HG1651_PATCH	fix-patch	6	Chromosome	KQ031387.1	<>	na	PATCHES	320750	na
HG2072_PATCH	fix-patch	6	Chromosome	KQ090016.1	<>	na	PATCHES	245716	na
HG2121_PATCH	fix-patch	6	Chromosome	KV766194.1	<>	na	PATCHES	139427	na
HG2057_PATCH	fix-patch	6	Chromosome	KZ208911.1	<>	na	PATCHES	242796	na
HG563_PATCH	fix-patch	6	Chromosome	ML143351.1	<>	na	PATCHES	73265	na
HSCHR6_1_CTG10	novel-patch	6	Chromosome	KQ090017.1	<>	na	PATCHES	82315	na
HSCHR6_1_CTG1	novel-patch	6	Chromosome	MU273357.1	<>	na	PATCHES	383128	na
HG2239_PATCH	fix-patch	7	Chromosome	KQ031388.1	<>	na	PATCHES	179932	na
HG2088_PATCH	fix-patch	7	Chromosome	KV880764.1	<>	na	PATCHES	142129	na
HG2266_PATCH	fix-patch	7	Chromosome	KV880765.1	<>	na	PATCHES	468267	na
HG708_PATCH	fix-patch	7	Chromosome	KZ208912.1	<>	na	PATCHES	589656	na
HG1309_PATCH	fix-patch	7	Chromosome	ML143352.1	<>	na	PATCHES	254759	na
HSCHR7_3_CTG4_4	novel-patch	7	Chromosome	KZ208913.1	<>	na	PATCHES	680662	na
HSCHR7_3_CTG1	novel-patch	7	Chromosome	KZ559106.1	<>	na	PATCHES	172555	na
HSCHR7_4_CTG1	novel-patch	7	Chromosome	MU273358.1	<>	na	PATCHES	464417	na
HG2067_PATCH	fix-patch	8	Chromosome	KV880766.1	<>	na	PATCHES	156998	na
HG2068_PATCH	fix-patch	8	Chromosome	KV880767.1	<>	na	PATCHES	265876	na
HG2419_PATCH	fix-patch	8	Chromosome	KZ208914.1	<>	na	PATCHES	165120	na
HG76_PATCH	fix-patch	8	Chromosome	KZ208915.1	<>	na	PATCHES	6367528	na
HG2176_PATCH	fix-patch	8	Chromosome	MU273359.1	<>	na	PATCHES	150302	na
HG1047_PATCH	fix-patch	8	Chromosome	MU273360.1	<>	na	PATCHES	39290	na
HG2408_PATCH	fix-patch	8	Chromosome	MU273361.1	<>	na	PATCHES	106905	na
HG2267_PATCH	fix-patch	8	Chromosome	MU273362.1	<>	na	PATCHES	429744	na
HG2031_PATCH	fix-patch	8	Chromosome	MU273363.1	<>	na	PATCHES	207371	na
HSCHR8_7_CTG7	novel-patch	8	Chromosome	KZ559107.1	<>	na	PATCHES	103072	na
HG2030_PATCH	fix-patch	9	Chromosome	KN196479.1	<>	na	PATCHES	330164	na
HG613_PATCH	fix-patch	9	Chromosome	ML143353.1	<>	na	PATCHES	25408	na
HG2158_PATCH	fix-patch	9	Chromosome	MU273364.1	<>	na	PATCHES	340717	na
HG1012_PATCH	fix-patch	9	Chromosome	MU273365.1	<>	na	PATCHES	482250	na
HG1206_PATCH	fix-patch	9	Chromosome	MU273366.1	<>	na	PATCHES	569668	na
HSCHR9_1_CTG6	novel-patch	9	Chromosome	KQ090018.1	<>	na	PATCHES	163882	na
HSCHR9_1_CTG7	novel-patch	9	Chromosome	KQ090019.1	<>	na	PATCHES	134099	na
HG2191_PATCH	fix-patch	10	Chromosome	KN196480.1	<>	na	PATCHES	277797	na
HG2241_PATCH	fix-patch	10	Chromosome	KN538365.1	<>	na	PATCHES	14347	na
HG2242_HG2243_PATCH	fix-patch	10	Chromosome	KN538366.1	<>	na	PATCHES	85284	na
HG2244_HG2245_PATCH	fix-patch	10	Chromosome	KN538367.1	<>	na	PATCHES	420164	na
HG2334_PATCH	fix-patch	10	Chromosome	KQ090021.1	<>	na	PATCHES	264545	na
HG545_PATCH	fix-patch	10	Chromosome	ML143354.1	<>	na	PATCHES	454963	na
HG1277_PATCH	fix-patch	10	Chromosome	ML143355.1	<>	na	PATCHES	292944	na
HG2576_PATCH	fix-patch	10	Chromosome	MU273367.1	<>	na	PATCHES	196262	na
HSCHR10_1_CTG6	novel-patch	10	Chromosome	KQ090020.1	<>	na	PATCHES	185507	na
HG2217_PATCH	fix-patch	11	Chromosome	KN196481.1	<>	na	PATCHES	108875	na
HG2116_PATCH	fix-patch	11	Chromosome	KQ090022.1	<>	na	PATCHES	181958	na
HG107_HG2565_PATCH	fix-patch	11	Chromosome	KQ759759.2	<>	na	PATCHES	204999	na
HG1708_PATCH	fix-patch	11	Chromosome	KV766195.1	<>	na	PATCHES	140877	na
HG2060_PATCH	fix-patch	11	Chromosome	KZ559108.1	<>	na	PATCHES	305244	na
HG2114_PATCH	fix-patch	11	Chromosome	KZ559109.1	<>	na	PATCHES	279644	na
HG1521_PATCH	fix-patch	11	Chromosome	ML143356.1	<>	na	PATCHES	45257	na
HG1445_PATCH	fix-patch	11	Chromosome	ML143357.1	<>	na	PATCHES	165419	na
HG28_PATCH	fix-patch	11	Chromosome	ML143358.1	<>	na	PATCHES	270122	na
HG2115_PATCH	fix-patch	11	Chromosome	ML143359.1	<>	na	PATCHES	217075	na
HG2111_PATCH	fix-patch	11	Chromosome	ML143360.1	<>	na	PATCHES	170928	na
HG152_PATCH	fix-patch	11	Chromosome	MU273369.1	<>	na	PATCHES	434831	na
HG2568_PATCH	fix-patch	11	Chromosome	MU273370.1	<>	na	PATCHES	344606	na
HG2578_PATCH	fix-patch	11	Chromosome	MU273371.1	<>	na	PATCHES	122722	na
HSCHR11_1_CTG1_2	novel-patch	11	Chromosome	KN538368.1	<>	na	PATCHES	203552	na
HSCHR11_2_CTG8	novel-patch	11	Chromosome	KZ559110.1	<>	na	PATCHES	301637	na
HSCHR11_1_CTG3_1	novel-patch	11	Chromosome	KZ559111.1	<>	na	PATCHES	181167	na
HSCHR11_2_CTG3_1	novel-patch	11	Chromosome	MU273368.1	<>	na	PATCHES	261194	na
HG23_PATCH	fix-patch	12	Chromosome	KN196482.1	<>	na	PATCHES	211377	na
HG1362_PATCH	fix-patch	12	Chromosome	KN538369.1	<>	na	PATCHES	541038	na
HG2247_PATCH	fix-patch	12	Chromosome	KN538370.1	<>	na	PATCHES	86533	na
HG2063_PATCH	fix-patch	12	Chromosome	KQ759760.1	<>	na	PATCHES	315610	na
HG1815_PATCH	fix-patch	12	Chromosome	KZ208916.1	<>	na	PATCHES	1046838	na
HG2047_PATCH	fix-patch	12	Chromosome	KZ208917.1	<>	na	PATCHES	64689	na
HG2246_HG2248_HG2276_PATCH	fix-patch	12	Chromosome	ML143361.1	<>	na	PATCHES	297568	na
HG1398_PATCH	fix-patch	12	Chromosome	ML143362.1	<>	na	PATCHES	192531	na
HG2554_PATCH	fix-patch	12	Chromosome	MU273372.1	<>	na	PATCHES	104537	na
HSCHR12_2_CTG1	novel-patch	12	Chromosome	KQ090023.1	<>	na	PATCHES	109323	na
HSCHR12_8_CTG2_1	novel-patch	12	Chromosome	KZ208918.1	<>	na	PATCHES	174808	na
HSCHR12_9_CTG2_1	novel-patch	12	Chromosome	KZ559112.1	<>	na	PATCHES	154139	na
HG2216_PATCH	fix-patch	13	Chromosome	KN196483.1	<>	na	PATCHES	35455	na
HG2288_HG2289_PATCH	fix-patch	13	Chromosome	KN538371.1	<>	na	PATCHES	206320	na
HG2291_PATCH	fix-patch	13	Chromosome	KN538372.1	<>	na	PATCHES	356766	na
HG2249_PATCH	fix-patch	13	Chromosome	KN538373.1	<>	na	PATCHES	148762	na
HG1817_1_PATCH	fix-patch	13	Chromosome	ML143363.1	<>	na	PATCHES	7309	na
HG1523_PATCH	fix-patch	13	Chromosome	ML143364.1	<>	na	PATCHES	158944	na
HG1524_PATCH	fix-patch	13	Chromosome	ML143365.1	<>	na	PATCHES	65394	na
HG2509_PATCH	fix-patch	13	Chromosome	ML143366.1	<>	na	PATCHES	409912	na
HSCHR13_1_CTG7	novel-patch	13	Chromosome	KQ090024.1	<>	na	PATCHES	168146	na
HSCHR13_1_CTG8	novel-patch	13	Chromosome	KQ090025.1	<>	na	PATCHES	123480	na
HG1_PATCH	fix-patch	14	Chromosome	KZ208920.1	<>	na	PATCHES	690932	na
HG2510_PATCH	fix-patch	14	Chromosome	ML143367.1	<>	na	PATCHES	399183	na
HG2526_HG2573_PATCH	fix-patch	14	Chromosome	MU273373.1	<>	na	PATCHES	722645	na
HSCHR14_8_CTG1	novel-patch	14	Chromosome	KZ208919.1	<>	na	PATCHES	171798	na
HSCHR14_9_CTG1	novel-patch	14	Chromosome	ML143368.1	<>	na	PATCHES	264228	na
HG2139_PATCH	fix-patch	15	Chromosome	KN538374.1	<>	na	PATCHES	4998962	na
HG2499_PATCH	fix-patch	15	Chromosome	ML143369.1	<>	na	PATCHES	97763	na
HG2198_PATCH	fix-patch	15	Chromosome	ML143370.1	<>	na	PATCHES	369264	na
HG2365_PATCH	fix-patch	15	Chromosome	ML143371.1	<>	na	PATCHES	5500449	na
HG2511_PATCH	fix-patch	15	Chromosome	ML143372.1	<>	na	PATCHES	396515	na
HG2280_PATCH	fix-patch	15	Chromosome	MU273374.1	<>	na	PATCHES	1154574	na
HSCHR15_6_CTG8	novel-patch	15	Chromosome	KQ031389.1	<>	na	PATCHES	2365364	na
HSCHR15_9_CTG8	novel-patch	15	Chromosome	MU273375.1	<>	na	PATCHES	204007	na
HG926_PATCH	fix-patch	16	Chromosome	KV880768.1	<>	na	PATCHES	1927115	na
HG2263_PATCH	fix-patch	16	Chromosome	KZ559113.1	<>	na	PATCHES	480415	na
HG2471_PATCH	fix-patch	16	Chromosome	ML143373.1	<>	na	PATCHES	270967	na
HG401_PATCH	fix-patch	16	Chromosome	MU273376.1	<>	na	PATCHES	87715	na
HG405_PATCH	fix-patch	16	Chromosome	MU273377.1	<>	na	PATCHES	334997	na
HSCHR16_3_CTG3_1	novel-patch	16	Chromosome	KQ031390.1	<>	na	PATCHES	169136	na
HSCHR16_5_CTG1	novel-patch	16	Chromosome	KQ090026.1	<>	na	PATCHES	59016	na
HSCHR16_4_CTG3_1	novel-patch	16	Chromosome	KQ090027.1	<>	na	PATCHES	267463	na
HSCHR16_5_CTG3_1	novel-patch	16	Chromosome	KZ208921.1	<>	na	PATCHES	78609	na
HG2046_PATCH	fix-patch	17	Chromosome	KV575245.1	<>	na	PATCHES	154723	na
HG2285_HG106_HG2252_PATCH	fix-patch	17	Chromosome	KV766196.1	<>	na	PATCHES	281919	na
HG2087_PATCH	fix-patch	17	Chromosome	ML143374.1	<>	na	PATCHES	137908	na
HG1320_PATCH	fix-patch	17	Chromosome	ML143375.1	<>	na	PATCHES	56695	na
HG2118_PATCH	fix-patch	17	Chromosome	MU273379.1	<>	na	PATCHES	234878	na
HG2407_PATCH	fix-patch	17	Chromosome	MU273380.1	<>	na	PATCHES	538541	na
HG2251_PATCH	fix-patch	17	Chromosome	MU273381.1	<>	na	PATCHES	144689	na
HG1369_PATCH	fix-patch	17	Chromosome	MU273382.1	<>	na	PATCHES	187626	na
HG2580_PATCH	fix-patch	17	Chromosome	MU273383.1	<>	na	PATCHES	172609	na
HSCHR17_11_CTG4	novel-patch	17	Chromosome	KV766197.1	<>	na	PATCHES	246895	na
HSCHR17_3_CTG1	novel-patch	17	Chromosome	KV766198.1	<>	na	PATCHES	276292	na
HSCHR17_12_CTG4	novel-patch	17	Chromosome	KZ559114.1	<>	na	PATCHES	116753	na
HSCHR17_13_CTG4	novel-patch	17	Chromosome	MU273378.1	<>	na	PATCHES	372839	na
HG2213_PATCH	fix-patch	18	Chromosome	KQ090028.1	<>	na	PATCHES	407387	na
HG2442_PATCH	fix-patch	18	Chromosome	KZ208922.1	<>	na	PATCHES	93070	na
HG2412_PATCH	fix-patch	18	Chromosome	KZ559115.1	<>	na	PATCHES	230843	na
HSCHR18_5_CTG1_1	novel-patch	18	Chromosome	KQ458385.1	<>	na	PATCHES	205101	na
HSCHR18_1_CTG1	novel-patch	18	Chromosome	KZ559116.1	<>	na	PATCHES	163186	na
HG2021_PATCH	fix-patch	19	Chromosome	KN196484.1	<>	na	PATCHES	370917	na
HG26_PATCH	fix-patch	19	Chromosome	KQ458386.1	<>	na	PATCHES	405389	na
HG109_PATCH	fix-patch	19	Chromosome	ML143376.1	<>	na	PATCHES	493165	na
HG2461_PATCH	fix-patch	19	Chromosome	MU273384.1	<>	na	PATCHES	333754	na
HG2569_PATCH	fix-patch	19	Chromosome	MU273385.1	<>	na	PATCHES	137818	na
HG2469_PATCH	fix-patch	19	Chromosome	MU273386.1	<>	na	PATCHES	226166	na
HSCHR19KIR_0019-4656-A_CTG3_1	novel-patch	19	Chromosome	KV575246.1	<>	na	PATCHES	163926	na
HSCHR19KIR_CA01-TA01_1_CTG3_1	novel-patch	19	Chromosome	KV575247.1	<>	na	PATCHES	170206	na
HSCHR19KIR_CA01-TA01_2_CTG3_1	novel-patch	19	Chromosome	KV575248.1	<>	na	PATCHES	168131	na
HSCHR19KIR_CA01-TB04_CTG3_1	novel-patch	19	Chromosome	KV575249.1	<>	na	PATCHES	293522	na
HSCHR19KIR_CA01-TB01_CTG3_1	novel-patch	19	Chromosome	KV575250.1	<>	na	PATCHES	241058	na
HSCHR19KIR_HG2394_CTG3_1	novel-patch	19	Chromosome	KV575251.1	<>	na	PATCHES	159285	na
HSCHR19KIR_502960008-2_CTG3_1	novel-patch	19	Chromosome	KV575252.1	<>	na	PATCHES	178197	na
HSCHR19KIR_502960008-1_CTG3_1	novel-patch	19	Chromosome	KV575253.1	<>	na	PATCHES	166713	na
HSCHR19KIR_0010-5217-AB_CTG3_1	novel-patch	19	Chromosome	KV575254.1	<>	na	PATCHES	99845	na
HSCHR19KIR_7191059-1_CTG3_1	novel-patch	19	Chromosome	KV575255.1	<>	na	PATCHES	161095	na
HSCHR19KIR_0019-4656-B_CTG3_1	novel-patch	19	Chromosome	KV575256.1	<>	na	PATCHES	223118	na
HSCHR19KIR_CA04_CTG3_1	novel-patch	19	Chromosome	KV575257.1	<>	na	PATCHES	100553	na
HSCHR19KIR_HG2393_CTG3_1	novel-patch	19	Chromosome	KV575258.1	<>	na	PATCHES	156965	na
HSCHR19KIR_7191059-2_CTG3_1	novel-patch	19	Chromosome	KV575259.1	<>	na	PATCHES	171263	na
HSCHR19KIR_HG2396_CTG3_1	novel-patch	19	Chromosome	KV575260.1	<>	na	PATCHES	145691	na
HSCHR19_6_CTG2	novel-patch	19	Chromosome	MU273387.1	<>	na	PATCHES	89211	na
