# Region Report
# Assembly name:  GRCh38.p14
# Description:    Genome Reference Consortium Human Build 38 patch release 14 (GRCh38.p14)
# Organism name:  Homo sapiens (human)
# Taxid:          9606
# BioProject:     PRJNA31257
# Submitter:      Genome Reference Consortium
# Date:           2022-02-03
# Synonyms:       hg38	
# Assembly type:  haploid-with-alt-loci
# Release type:   patch
# Assembly level: Chromosome
# Genome representation: full
# RefSeq category: Reference Genome
# GenBank assembly accession: GCA_000001405.29
#
## Assembly-Units:
## GenBank Unit Accession	RefSeq Unit Accession	Assembly-Unit name
## GCA_000001305.2		Primary Assembly
## GCA_000005045.27		PATCHES
## GCA_000001315.2		ALT_REF_LOCI_1
## GCA_000001325.2		ALT_REF_LOCI_2
## GCA_000001335.2		ALT_REF_LOCI_3
## GCA_000001345.2		ALT_REF_LOCI_4
## GCA_000001355.2		ALT_REF_LOCI_5
## GCA_000001365.2		ALT_REF_LOCI_6
## GCA_000001375.2		ALT_REF_LOCI_7
## GCA_000510225.1		ALT_REF_LOCI_8
## GCA_000510235.1		ALT_REF_LOCI_9
## GCA_000509915.1		ALT_REF_LOCI_10
## GCA_000509925.1		ALT_REF_LOCI_11
## GCA_000509935.1		ALT_REF_LOCI_12
## GCA_000509945.1		ALT_REF_LOCI_13
## GCA_000509955.1		ALT_REF_LOCI_14
## GCA_000509965.1		ALT_REF_LOCI_15
## GCA_000509975.1		ALT_REF_LOCI_16
## GCA_000509985.1		ALT_REF_LOCI_17
## GCA_000509995.1		ALT_REF_LOCI_18
## GCA_000510005.1		ALT_REF_LOCI_19
## GCA_000510015.1		ALT_REF_LOCI_20
## GCA_000510025.1		ALT_REF_LOCI_21
## GCA_000510035.1		ALT_REF_LOCI_22
## GCA_000510045.1		ALT_REF_LOCI_23
## GCA_000510055.1		ALT_REF_LOCI_24
## GCA_000510065.1		ALT_REF_LOCI_25
## GCA_000510075.1		ALT_REF_LOCI_26
## GCA_000510085.1		ALT_REF_LOCI_27
## GCA_000510095.1		ALT_REF_LOCI_28
## GCA_000510105.1		ALT_REF_LOCI_29
## GCA_000510125.1		ALT_REF_LOCI_30
## GCA_000510135.1		ALT_REF_LOCI_31
## GCA_000510145.1		ALT_REF_LOCI_32
## GCA_000510155.1		ALT_REF_LOCI_33
## GCA_000510165.1		ALT_REF_LOCI_34
## GCA_000510175.1		ALT_REF_LOCI_35
## GCA_000006015.1		non-nuclear
#
# Region-Name	Chromosome	Chromosome-Start	Chromosome-Stop	Scaffold-Role	Scaffold-GenBank-Accn	Scaffold-RefSeq-Accn	Assembly-Unit
OR52E1	11	5003681	5126401	fix-patch	MU273371.1	na	PATCHES
OLFACTORY_REGION_2	11	7779133	7972558	alt-scaffold	KI270829.1	NT_187583.1	ALT_REF_LOCI_1
OLFACTORY_REGION_2	11	7779133	7972558	novel-patch	KN538368.1	na	PATCHES
REGION288	11	18251175	18419476	fix-patch	ML143360.1	na	PATCHES
REGION19	11	25170407	25319080	alt-scaffold	GL383547.1	NW_003315936.1	ALT_REF_LOCI_1
REGION269	11	47572175	47847277	fix-patch	KZ559109.1	na	PATCHES
REGION270	11	49535823	49841095	fix-patch	KZ559108.1	na	PATCHES
OLFACTORY_REGION_4	11	49958373	50099251	fix-patch	KV766195.1	na	PATCHES
CEN11	11	51078349	54425074	CEN	na	na	na
OLFACTORY_REGION_1	11	56189252	56873567	alt-scaffold	JH159136.1	NW_003871073.1	ALT_REF_LOCI_1
OLFACTORY_REGION_1	11	56189252	56873567	alt-scaffold	JH159137.1	NW_003871074.1	ALT_REF_LOCI_1
OLFACTORY_REGION_1	11	56189252	56873567	fix-patch	MU273370.1	na	PATCHES
REGION271	11	59910346	60087289	novel-patch	KZ559111.1	na	PATCHES
REGION106	11	69165291	69229344	alt-scaffold	KI270827.1	NT_187582.1	ALT_REF_LOCI_1
PPFIA1	11	70244180	70455787	fix-patch	ML143359.1	na	PATCHES
REGION286	11	87928891	88117772	fix-patch	ML143357.1	na	PATCHES
REGION272	11	90093878	90364703	novel-patch	KZ559110.1	na	PATCHES
REGION215	11	92232311	92410192	fix-patch	KQ090022.1	na	PATCHES
REGION287	11	96542549	96587148	fix-patch	ML143356.1	na	PATCHES
CASP12	11	104700868	104962061	novel-patch	MU273368.1	na	PATCHES
SLC37A4	11	118978401	119087276	fix-patch	KN196481.1	na	PATCHES
REGION107	11	134773600	134962792	alt-scaffold	KI270826.1	NT_187581.1	ALT_REF_LOCI_1
AFCT08	HSCHR11_CTG1_UNLOCALIZED	1	100316	na	na	na	na
REGION50	12	10001	173298	alt-scaffold	GL877875.1	NW_003571049.1	ALT_REF_LOCI_1
REGION217	12	1033530	1135924	novel-patch	KQ090023.1	na	PATCHES
REGION253	12	1657857	2698722	fix-patch	KZ208916.1	na	PATCHES
C1R	12	7071546	7264845	fix-patch	ML143362.1	na	PATCHES
PRH1_PRR4	12	10801295	11377386	alt-scaffold	GL877876.1	NW_003571050.1	ALT_REF_LOCI_1
PRH1_PRR4	12	10801295	11377386	alt-scaffold	KI270837.1	NT_187588.1	ALT_REF_LOCI_1
PRH1_PRR4	12	10801295	11377386	alt-scaffold	KI270904.1	NT_187658.1	ALT_REF_LOCI_2
REGION206	12	12031003	12572035	fix-patch	KN538369.1	na	PATCHES
REGION196	12	17717409	17928910	fix-patch	KN196482.1	na	PATCHES
REGION21	12	27996034	28110778	alt-scaffold	GL383549.1	NW_003315938.1	ALT_REF_LOCI_1
OVOS2	12	31111480	31347345	alt-scaffold	KI270835.1	NT_187587.1	ALT_REF_LOCI_1
CEN12	12	34769408	37185252	CEN	na	na	na
REGION327	12	53276241	53380787	fix-patch	MU273372.1	na	PATCHES
REGION22	12	57932737	58092755	alt-scaffold	GL383550.2	NW_003315939.2	ALT_REF_LOCI_1
REGION23	12	58929265	59060870	alt-scaffold	GL383552.1	NW_003315941.1	ALT_REF_LOCI_1
REGION255	12	86094144	86261655	novel-patch	KZ208918.1	na	PATCHES
REGION232	12	86768210	87083988	fix-patch	KQ759760.1	na	PATCHES
REGION24	12	101111599	101258295	alt-scaffold	GL383553.2	NW_003315942.2	ALT_REF_LOCI_1
REGION254	12	121594225	121658918	fix-patch	KZ208917.1	na	PATCHES
REGION207	12	122057735	122145576	fix-patch	KN538370.1	na	PATCHES
REGION161	12	123826509	123945954	alt-scaffold	KI270834.1	NT_187590.1	ALT_REF_LOCI_1
REGION20	12	126227198	126405474	alt-scaffold	GL383551.1	NW_003315940.1	ALT_REF_LOCI_1
REGION273	12	127053477	127193247	novel-patch	KZ559112.1	na	PATCHES
REGION162	12	130323076	130394967	alt-scaffold	KI270833.1	NT_187589.1	ALT_REF_LOCI_1
REGION163	12	131543020	131584984	alt-scaffold	KI270836.1	NT_187591.1	ALT_REF_LOCI_1
GALNT9	12	132092972	132391208	fix-patch	ML143361.1	na	PATCHES
NOR_CHR_13	13	15590088	16000000	fix-patch	ML143366.1	na	PATCHES
CEN13	13	16000001	18051248	CEN	na	na	na
BAGE5	13	18171249	18358106	fix-patch	KN538372.1	na	PATCHES
REGION164	13	18698351	18884136	alt-scaffold	KI270840.1	NT_187594.1	ALT_REF_LOCI_1
REGION165	13	25652362	25828680	alt-scaffold	KI270839.1	NT_187593.1	ALT_REF_LOCI_1
REGION166	13	70341886	70442876	alt-scaffold	KI270843.1	NT_187597.1	ALT_REF_LOCI_1
REGION218	13	84294441	84452423	novel-patch	KQ090024.1	na	PATCHES
REGION197	13	86200738	86292877	fix-patch	ML143363.1	na	PATCHES
REGION197	13	86200738	86292877	fix-patch	KN196483.1	na	PATCHES
AFCT12	13	86252980	86269524	na	na	na	na
REGION167	13	89598964	89764093	alt-scaffold	KI270841.1	NT_187595.1	ALT_REF_LOCI_1
REGION208	13	100900735	101049613	fix-patch	KN538373.1	na	PATCHES
REGION219	13	108604134	108722945	novel-patch	KQ090025.1	na	PATCHES
AFCT11	13	111753856	111793441	na	na	na	na
REGION289	13	111786909	111851680	fix-patch	ML143364.1	na	PATCHES
REGION168	13	112182875	112505943	alt-scaffold	KI270838.1	NT_187592.1	ALT_REF_LOCI_1
REGION169	13	113649178	113763795	alt-scaffold	KI270842.1	NT_187596.1	ALT_REF_LOCI_1
REGION169	13	113649178	113763795	fix-patch	ML143365.1	na	PATCHES
REGION209	13	113936976	114147229	fix-patch	KN538371.1	na	PATCHES
NOR_CHR_14	14	15600817	16000000	fix-patch	ML143367.1	na	PATCHES
CEN14	14	16000001	18173523	CEN	na	na	na
OR4Q2_OR11H7	14	19797319	20519964	fix-patch	MU273373.1	na	PATCHES
REGION256	14	23699022	24389954	fix-patch	KZ208920.1	na	PATCHES
REGION291	14	46309691	46567274	novel-patch	ML143368.1	na	PATCHES
REGION257	14	63664049	63829157	novel-patch	KZ208919.1	na	PATCHES
REGION170	14	91535865	91854371	alt-scaffold	KI270844.1	NT_187598.1	ALT_REF_LOCI_1
IGH	14	92885439	94394539	alt-scaffold	KI270847.1	NT_187601.1	ALT_REF_LOCI_1
SERPIN_REGION_1	14	104449322	104622880	alt-scaffold	KI270845.1	NT_187599.1	ALT_REF_LOCI_1
REGION171	14	105533003	106860219	alt-scaffold	KI270846.1	NT_187600.1	ALT_REF_LOCI_1
NOR_CHR_15	15	16603485	17000000	fix-patch	ML143372.1	na	PATCHES
CEN15	15	17000001	19725254	CEN	na	na	na
PRADER_WILLI	15	19775255	24552710	alt-scaffold	KI270852.1	NT_187602.1	ALT_REF_LOCI_1
PRADER_WILLI	15	19775255	24552710	alt-scaffold	KI270848.1	NT_187603.1	ALT_REF_LOCI_1
PRADER_WILLI	15	19775255	24552710	alt-scaffold	KI270851.1	NT_187604.1	ALT_REF_LOCI_1
PRADER_WILLI	15	19775255	24552710	alt-scaffold	KI270906.1	NT_187659.1	ALT_REF_LOCI_2
PRADER_WILLI	15	19775255	24552710	fix-patch	ML143371.1	na	PATCHES
REGION25	15	27865714	32946929	alt-scaffold	GL383554.1	NW_003315943.1	ALT_REF_LOCI_1
REGION25	15	27865714	32946929	alt-scaffold	KI270905.1	NT_187660.1	ALT_REF_LOCI_2
REGION25	15	27865714	32946929	novel-patch	KQ031389.1	na	PATCHES
REGION328	15	34261291	34457915	novel-patch	MU273375.1	na	PATCHES
TRIM69	15	44676664	44913053	alt-scaffold	KI270849.1	NT_187605.1	ALT_REF_LOCI_1
MEGF11	15	65908183	66284818	alt-scaffold	GL383555.2	NW_003315944.2	ALT_REF_LOCI_1
REGION299	15	74172576	74539995	fix-patch	ML143370.1	na	PATCHES
REGION172	15	82289984	82641774	alt-scaffold	KI270850.1	NT_187606.1	ALT_REF_LOCI_1
REGION329	15	83394207	84662728	fix-patch	MU273374.1	na	PATCHES
REGION303	15	101893864	101981189	fix-patch	ML143369.1	na	PATCHES
RAB11FIP3	16	400855	531525	alt-scaffold	KI270854.1	NT_187610.1	ALT_REF_LOCI_1
REGION173	16	1871895	2021571	alt-scaffold	KI270856.1	NT_187609.1	ALT_REF_LOCI_1
REGION173	16	1871895	2021571	fix-patch	MU273376.1	na	PATCHES
REGION221	16	2820536	2873621	novel-patch	KQ090026.1	na	PATCHES
PAM16	16	4299637	4530534	alt-scaffold	KI270855.1	NT_187608.1	ALT_REF_LOCI_1
REGION174	16	14427144	16998739	alt-scaffold	KI270853.1	NT_187607.1	ALT_REF_LOCI_1
FRA16A	16	16998740	17478916	fix-patch	KZ559113.1	na	PATCHES
REGION245	16	21176310	22760988	fix-patch	KV880768.1	na	PATCHES
SLC5A11	16	24749301	25017484	fix-patch	ML143373.1	na	PATCHES
AFCT13	16	34339330	34521510	na	na	na	na
CEN16	16	36311159	38280682	CEN	na	na	na
REGION26	16	55772981	55968548	alt-scaffold	GL383556.1	NW_003315945.1	ALT_REF_LOCI_1
SNTB2	16	69140151	69224690	alt-scaffold	GL383557.1	NW_003315946.1	ALT_REF_LOCI_1
REGION220	16	71137292	71399966	novel-patch	KQ090027.1	na	PATCHES
CTRB1_CTRB2	16	75169811	75248387	novel-patch	KZ208921.1	na	PATCHES
REGION213	16	75930096	76091406	novel-patch	KQ031390.1	na	PATCHES
REGION330	16	80951762	81286736	fix-patch	MU273377.1	na	PATCHES
DOC2B_RPH3AL	17	60001	402637	alt-scaffold	GL383563.3	NW_003315952.3	ALT_REF_LOCI_1
DOC2B_RPH3AL	17	60001	402637	alt-scaffold	KI270907.1	NT_187662.1	ALT_REF_LOCI_2
RFLNB	17	402638	722442	fix-patch	KV766196.1	na	PATCHES
ABR	17	960754	1449331	alt-scaffold	KI270862.1	NT_187613.1	ALT_REF_LOCI_1
ABR	17	960754	1449331	alt-scaffold	KI270910.1	NT_187664.1	ALT_REF_LOCI_2
WDR81	17	1569973	1767739	alt-scaffold	KI270861.1	NT_187611.1	ALT_REF_LOCI_1
REGION300	17	7244673	7379543	fix-patch	ML143374.1	na	PATCHES
POLR2A	17	7379544	7534268	fix-patch	KV575245.1	na	PATCHES
REGION238	17	18239627	18506313	novel-patch	KV766198.1	na	PATCHES
CEN17	17	22813680	26885980	CEN	na	na	na
NF1	17	30920827	31459679	fix-patch	MU273380.1	na	PATCHES
CCL5_TBC1D3	17	35765469	38841755	alt-scaffold	KI270857.1	NT_187614.1	ALT_REF_LOCI_1
CCL5_TBC1D3	17	35765469	38841755	alt-scaffold	KI270909.1	NT_187661.1	ALT_REF_LOCI_2
KRTAP_REGION_1	17	40850733	41432935	alt-scaffold	GL383564.2	NW_003315953.2	ALT_REF_LOCI_1
KRTAP_REGION_1	17	40850733	41432935	alt-scaffold	JH159146.1	NW_003871091.1	ALT_REF_LOCI_1
KRTAP_REGION_1	17	40850733	41432935	alt-scaffold	JH159147.1	NW_003871092.1	ALT_REF_LOCI_1
KRTAP_REGION_1	17	40850733	41432935	alt-scaffold	JH159148.1	NW_003871093.1	ALT_REF_LOCI_2
KRTAP_REGION_1	17	40850733	41432935	novel-patch	MU273378.1	na	PATCHES
MAPT	17	45309498	46903773	alt-scaffold	GL000258.2	NT_167251.2	ALT_REF_LOCI_1
MAPT	17	45309498	46903773	alt-scaffold	KI270908.1	NT_187663.1	ALT_REF_LOCI_2
REGION237	17	52434177	52673566	novel-patch	KV766197.1	na	PATCHES
REGION28	17	70306278	70524219	alt-scaffold	GL383565.1	NW_003315954.1	ALT_REF_LOCI_1
REGION175	17	71584518	71819311	alt-scaffold	KI270858.1	NT_187615.1	ALT_REF_LOCI_1
REGION176	17	72833331	72935743	alt-scaffold	KI270859.1	NT_187616.1	ALT_REF_LOCI_1
REGION176	17	72833331	72935743	novel-patch	KZ559114.1	na	PATCHES
CD300H	17	74423553	74596161	fix-patch	MU273383.1	na	PATCHES
REGION30	17	77220730	77299326	alt-scaffold	GL383566.1	NW_003315955.1	ALT_REF_LOCI_1
REGION331	17	79977090	80210172	fix-patch	MU273379.1	na	PATCHES
REGION332	17	81345363	81531421	fix-patch	MU273382.1	na	PATCHES
REGION301	17	81736740	81843202	fix-patch	ML143375.1	na	PATCHES
B3GNTL1	17	82922720	83103577	alt-scaffold	KI270860.1	NT_187612.1	ALT_REF_LOCI_1
REGION333	17	83103578	83247441	fix-patch	MU273381.1	na	PATCHES
REGION274	18	1744182	1884837	novel-patch	KZ559116.1	na	PATCHES
CEN18	18	15460900	20861206	CEN	na	na	na
REGION230	18	22388680	22588100	novel-patch	KQ458385.1	na	PATCHES
REGION177	18	43667277	43773892	alt-scaffold	KI270864.1	NT_187618.1	ALT_REF_LOCI_1
SLC14A2_AS1	18	45379886	45610729	fix-patch	KZ559115.1	na	PATCHES
CTIF	18	48514982	48918117	fix-patch	KQ090028.1	na	PATCHES
REGION31	18	50292194	50574792	alt-scaffold	GL383567.1	NW_003315956.1	ALT_REF_LOCI_1
REGION32	18	51662936	51821642	alt-scaffold	GL383570.1	NW_003315959.1	ALT_REF_LOCI_1
REGION33	18	67423723	67552551	alt-scaffold	GL383571.1	NW_003315960.1	ALT_REF_LOCI_1
REGION258	18	70423088	70510260	fix-patch	KZ208922.1	na	PATCHES
REGION34	18	72933122	73024781	alt-scaffold	GL383568.1	NW_003315957.1	ALT_REF_LOCI_1
REGION35	18	78493467	78664469	alt-scaffold	GL383569.1	NW_003315958.1	ALT_REF_LOCI_1
REGION35	18	78493467	78664469	alt-scaffold	KI270912.1	NT_187665.1	ALT_REF_LOCI_2
REGION36	18	78934886	79088997	alt-scaffold	GL383572.1	NW_003315961.1	ALT_REF_LOCI_1
REGION36	18	78934886	79088997	alt-scaffold	KI270911.1	NT_187666.1	ALT_REF_LOCI_2
REGION178	18	79563122	79725366	alt-scaffold	KI270863.1	NT_187617.1	ALT_REF_LOCI_1
ELANE	19	821158	881412	alt-scaffold	KI270868.1	NT_187622.1	ALT_REF_LOCI_1
SBNO2	19	1107414	1158195	alt-scaffold	KI270865.1	NT_187621.1	ALT_REF_LOCI_1
FUT3	19	5826400	5915642	novel-patch	MU273387.1	na	PATCHES
MUC16	19	8765058	9083986	fix-patch	MU273384.1	na	PATCHES
SAMD1	19	13788160	14281006	fix-patch	ML143376.1	na	PATCHES
ZNF66	19	20663141	21042381	alt-scaffold	GL383573.1	NW_003315962.1	ALT_REF_LOCI_1
REGION37	19	21648290	21809032	alt-scaffold	GL383575.2	NW_003315964.2	ALT_REF_LOCI_1
REGION39	19	22120850	22300666	alt-scaffold	GL383576.1	NW_003315965.1	ALT_REF_LOCI_1
CEN19	19	24498981	27190874	CEN	na	na	na
REGION38	19	34152260	34300950	alt-scaffold	GL383574.1	NW_003315963.1	ALT_REF_LOCI_1
GPI	19	34350807	34392977	alt-scaffold	KI270866.1	NT_187619.1	ALT_REF_LOCI_1
REGION231	19	38590365	38995717	fix-patch	KQ458386.1	na	PATCHES
IFNL4	19	39219618	39357436	fix-patch	MU273385.1	na	PATCHES
FCGBP	19	39740125	40095774	fix-patch	KN196484.1	na	PATCHES
CEACAM_REGION_1	19	41456581	41682000	alt-scaffold	KI270867.1	NT_187620.1	ALT_REF_LOCI_1
LRC_KIR	19	54025634	55084318	alt-scaffold	GL949746.1	NW_003571054.1	ALT_REF_LOCI_1
LRC_KIR	19	54025634	55084318	alt-scaffold	KI270882.1	NT_187636.1	ALT_REF_LOCI_10
LRC_KIR	19	54025634	55084318	alt-scaffold	KI270883.1	NT_187637.1	ALT_REF_LOCI_11
LRC_KIR	19	54025634	55084318	alt-scaffold	KI270884.1	NT_187638.1	ALT_REF_LOCI_12
LRC_KIR	19	54025634	55084318	alt-scaffold	KI270885.1	NT_187639.1	ALT_REF_LOCI_13
LRC_KIR	19	54025634	55084318	alt-scaffold	KI270886.1	NT_187640.1	ALT_REF_LOCI_14
LRC_KIR	19	54025634	55084318	alt-scaffold	KI270887.1	NT_187641.1	ALT_REF_LOCI_15
LRC_KIR	19	54025634	55084318	alt-scaffold	KI270888.1	NT_187642.1	ALT_REF_LOCI_16
LRC_KIR	19	54025634	55084318	alt-scaffold	KI270889.1	NT_187643.1	ALT_REF_LOCI_17
LRC_KIR	19	54025634	55084318	alt-scaffold	KI270890.1	NT_187644.1	ALT_REF_LOCI_18
LRC_KIR	19	54025634	55084318	alt-scaffold	KI270891.1	NT_187645.1	ALT_REF_LOCI_19
LRC_KIR	19	54025634	55084318	alt-scaffold	GL949747.2	NW_003571055.2	ALT_REF_LOCI_2
LRC_KIR	19	54025634	55084318	alt-scaffold	KI270914.1	NT_187668.1	ALT_REF_LOCI_20
LRC_KIR	19	54025634	55084318	alt-scaffold	KI270915.1	NT_187669.1	ALT_REF_LOCI_21
LRC_KIR	19	54025634	55084318	alt-scaffold	KI270916.1	NT_187670.1	ALT_REF_LOCI_22
LRC_KIR	19	54025634	55084318	alt-scaffold	KI270917.1	NT_187671.1	ALT_REF_LOCI_23
LRC_KIR	19	54025634	55084318	alt-scaffold	KI270918.1	NT_187672.1	ALT_REF_LOCI_24
LRC_KIR	19	54025634	55084318	alt-scaffold	KI270919.1	NT_187673.1	ALT_REF_LOCI_25
LRC_KIR	19	54025634	55084318	alt-scaffold	KI270920.1	NT_187674.1	ALT_REF_LOCI_26
LRC_KIR	19	54025634	55084318	alt-scaffold	KI270921.1	NT_187675.1	ALT_REF_LOCI_27
LRC_KIR	19	54025634	55084318	alt-scaffold	KI270922.1	NT_187676.1	ALT_REF_LOCI_28
LRC_KIR	19	54025634	55084318	alt-scaffold	KI270923.1	NT_187677.1	ALT_REF_LOCI_29
LRC_KIR	19	54025634	55084318	alt-scaffold	GL949748.2	NW_003571056.2	ALT_REF_LOCI_3
LRC_KIR	19	54025634	55084318	alt-scaffold	KI270929.1	NT_187683.1	ALT_REF_LOCI_30
LRC_KIR	19	54025634	55084318	alt-scaffold	KI270930.1	NT_187684.1	ALT_REF_LOCI_31
LRC_KIR	19	54025634	55084318	alt-scaffold	KI270931.1	NT_187685.1	ALT_REF_LOCI_32
LRC_KIR	19	54025634	55084318	alt-scaffold	KI270932.1	NT_187686.1	ALT_REF_LOCI_33
LRC_KIR	19	54025634	55084318	alt-scaffold	KI270933.1	NT_187687.1	ALT_REF_LOCI_34
LRC_KIR	19	54025634	55084318	alt-scaffold	GL000209.2	NT_113949.2	ALT_REF_LOCI_35
LRC_KIR	19	54025634	55084318	alt-scaffold	GL949749.2	NW_003571057.2	ALT_REF_LOCI_4
LRC_KIR	19	54025634	55084318	alt-scaffold	GL949750.2	NW_003571058.2	ALT_REF_LOCI_5
LRC_KIR	19	54025634	55084318	alt-scaffold	GL949751.2	NW_003571059.2	ALT_REF_LOCI_6
LRC_KIR	19	54025634	55084318	alt-scaffold	GL949752.1	NW_003571060.1	ALT_REF_LOCI_7
LRC_KIR	19	54025634	55084318	alt-scaffold	GL949753.2	NW_003571061.2	ALT_REF_LOCI_8
LRC_KIR	19	54025634	55084318	alt-scaffold	KI270938.1	NT_187693.1	ALT_REF_LOCI_9
LRC_KIR	19	54025634	55084318	novel-patch	KV575254.1	na	PATCHES
LRC_KIR	19	54025634	55084318	novel-patch	KV575246.1	na	PATCHES
LRC_KIR	19	54025634	55084318	novel-patch	KV575256.1	na	PATCHES
LRC_KIR	19	54025634	55084318	novel-patch	KV575253.1	na	PATCHES
LRC_KIR	19	54025634	55084318	novel-patch	KV575252.1	na	PATCHES
LRC_KIR	19	54025634	55084318	novel-patch	KV575255.1	na	PATCHES
LRC_KIR	19	54025634	55084318	novel-patch	KV575259.1	na	PATCHES
LRC_KIR	19	54025634	55084318	novel-patch	KV575247.1	na	PATCHES
LRC_KIR	19	54025634	55084318	novel-patch	KV575248.1	na	PATCHES
LRC_KIR	19	54025634	55084318	novel-patch	KV575250.1	na	PATCHES
LRC_KIR	19	54025634	55084318	novel-patch	KV575249.1	na	PATCHES
LRC_KIR	19	54025634	55084318	novel-patch	KV575257.1	na	PATCHES
LRC_KIR	19	54025634	55084318	novel-patch	KV575258.1	na	PATCHES
LRC_KIR	19	54025634	55084318	novel-patch	KV575251.1	na	PATCHES
LRC_KIR	19	54025634	55084318	novel-patch	KV575260.1	na	PATCHES
REGION334	20	13791450	14060116	fix-patch	MU273388.1	na	PATCHES
REGION40	20	17771102	17893471	alt-scaffold	GL383577.2	NW_003315966.2	ALT_REF_LOCI_1
CEN20	20	26436233	30038348	CEN	na	na	na
MROH8	20	37090528	37446229	fix-patch	MU273389.1	na	PATCHES
REGION179	20	61886306	62008187	alt-scaffold	KI270869.1	NT_187623.1	ALT_REF_LOCI_1
REGION181	20	63414721	63471095	alt-scaffold	KI270871.1	NT_187625.1	ALT_REF_LOCI_1
REGION180	20	64095055	64274842	alt-scaffold	KI270870.1	NT_187624.1	ALT_REF_LOCI_1
AFCT01	21	5010001	5166246	na	na	na	na
AFCT02	21	5966594	6161371	na	na	na	na
AFCT03	21	6427259	6580181	na	na	na	na
AFCT04	21	6789086	6934219	na	na	na	na
AFCT05	21	7743701	7865746	na	na	na	na
NOR_CHR_21	21	8310972	8472360	fix-patch	ML143377.1	na	PATCHES
CEN21	21	10864561	12915808	CEN	na	na	na
REGION41	21	14424141	14475471	alt-scaffold	GL383578.2	NW_003315967.2	ALT_REF_LOCI_1
REGION182	21	17146893	17310433	alt-scaffold	KI270874.1	NT_187628.1	ALT_REF_LOCI_1
REGION183	21	17603695	17744061	alt-scaffold	KI270873.1	NT_187627.1	ALT_REF_LOCI_1
REGION42	21	22102474	22296968	alt-scaffold	GL383579.2	NW_003315968.2	ALT_REF_LOCI_1
REGION335	21	28909267	29242861	fix-patch	MU273390.1	na	PATCHES
REGION43	21	32769079	32837937	alt-scaffold	GL383580.2	NW_003315969.2	ALT_REF_LOCI_1
TMEM50B	21	33405429	33512559	alt-scaffold	GL383581.2	NW_003315970.2	ALT_REF_LOCI_1
DSCAM	21	39864004	40881124	fix-patch	MU273391.1	na	PATCHES
COL18A1	21	45382766	45572481	fix-patch	MU273392.1	na	PATCHES
SPATC1L	21	46140942	46221322	alt-scaffold	KI270872.1	NT_187626.1	ALT_REF_LOCI_1
NOR_CHR_22	22	10097632	10510000	fix-patch	ML143380.1	na	PATCHES
CEN22	22	12954789	15054318	CEN	na	na	na
REGION292	22	16124788	16489297	fix-patch	ML143378.1	na	PATCHES
IGL	22	22373449	22624257	alt-scaffold	KI270875.1	NT_187629.1	ALT_REF_LOCI_1
REGION184	22	23354043	23516062	alt-scaffold	KI270878.1	NT_187632.1	ALT_REF_LOCI_1
REGION185	22	23763639	24013509	alt-scaffold	KI270879.1	NT_187633.1	ALT_REF_LOCI_1
APOL5	22	35685234	35942668	alt-scaffold	KI270876.1	NT_187630.1	ALT_REF_LOCI_1
REGION186	22	36779214	36877704	alt-scaffold	KI270877.1	NT_187631.1	ALT_REF_LOCI_1
APOBEC	22	38884294	39011160	alt-scaffold	GL383583.2	NW_003315972.2	ALT_REF_LOCI_1
CYP2D6	22	42077656	42253758	alt-scaffold	GL383582.2	NW_003315971.2	ALT_REF_LOCI_1
CYP2D6	22	42077656	42253758	alt-scaffold	KB663609.1	NW_004504305.1	ALT_REF_LOCI_2
CYP2D6	22	42077656	42253758	alt-scaffold	KI270928.1	NT_187682.1	ALT_REF_LOCI_3
CYP2D6	22	42077656	42253758	novel-patch	KN196485.1	na	PATCHES
CYP2D6	22	42077656	42253758	novel-patch	KN196486.1	na	PATCHES
CYP2D6	22	42077656	42253758	novel-patch	KQ458387.1	na	PATCHES
CYP2D6	22	42077656	42253758	novel-patch	KQ458388.1	na	PATCHES
CYP2D6	22	42077656	42253758	novel-patch	KQ759761.1	na	PATCHES
REGION293	22	49970785	49983074	fix-patch	ML143379.1	na	PATCHES
SHANK3	22	50663907	50764925	fix-patch	KQ759762.2	na	PATCHES
AFCT14	HSCHR22_UNLOCALIZED_CTG4	1	165050	na	na	na	na
PAR#1	X	10001	2781479	PAR	na	na	na
REGION187	X	319338	601516	alt-scaffold	KI270880.1	NT_187634.1	ALT_REF_LOCI_1
REGION187	X	319338	601516	alt-scaffold	KI270913.1	NT_187667.1	ALT_REF_LOCI_2
REGION239	X	4950957	5129468	novel-patch	KV766199.1	na	PATCHES
REGION294	X	37081326	37291004	fix-patch	ML143385.1	na	PATCHES
AFCT09	X	37085009	37099262	na	na	na	na
CCDC120	X	48841166	49171542	novel-patch	MU273397.1	na	PATCHES
REGION295	X	50213756	50288885	fix-patch	ML143382.1	na	PATCHES
CENX	X	58605580	62412542	CEN	na	na	na
REGION188	X	79965154	80097082	alt-scaffold	KI270881.1	NT_187635.1	ALT_REF_LOCI_1
TCEAL6	X	102104912	102173721	fix-patch	MU273393.1	na	PATCHES
REGION296	X	114255137	114367567	fix-patch	ML143383.1	na	PATCHES
NKRF	X	119549000	119689565	fix-patch	MU273394.1	na	PATCHES
CT47_REGION	X	120599933	121083725	fix-patch	ML143381.1	na	PATCHES
UBE2NL	X	143714925	144009032	novel-patch	MU273396.1	na	PATCHES
REGION297	X	144422134	144483176	fix-patch	ML143384.1	na	PATCHES
